DM Sigma Time Sample Downfact
0.00 6.25 7.683369 117346 9
0.00 7.85 7.713488 117806 14
0.00 5.44 7.744065 118273 14
0.00 6.61 7.774774 118742 20
0.00 6.11 7.80581 119216 9
0.00 8.47 7.836518 119685 14
0.00 6.61 7.867292 120155 20
0.00 5.13 7.898065 120625 6
0.00 8.69 7.928512 121090 14
0.00 7.61 7.958893 121554 9
0.00 8.43 7.989274 122018 4
0.00 9.39 8.01972 122483 6
0.00 5.80 8.019982 122487 6
0.00 8.19 8.05056 122954 9
0.00 11.55 8.080613 123413 14
0.00 7.91 8.111125 123879 14
0.00 5.28 8.170446 124785 45
0.00 8.11 8.20194 125266 14
0.00 7.33 8.23206 125726 3
0.00 7.93 8.262244 126187 2
0.00 8.45 8.293018 126657 14
0.00 8.24 8.323006 127115 9
0.00 6.77 8.383833 128044 14
0.00 9.28 8.474976 129436 14
0.00 8.99 8.535607 130362 14
0.00 7.12 8.596827 131297 6
0.00 5.75 8.657524 132224 14
0.00 7.93 8.688036 132690 9
0.00 6.63 8.718155 133150 6
0.00 11.81 8.748863 133619 14
0.00 5.34 8.804649 134471 1
0.00 5.07 8.809429 134544 3
0.00 9.21 8.839482 135003 9
0.00 11.36 8.869601 135463 6
0.00 5.04 8.899982 135927 14
0.00 8.85 8.930429 136392 14
0.00 5.24 8.930952 136400 14
0.00 9.74 8.960744 136855 14
0.00 10.25 8.990732 137313 9
0.00 9.31 9.021048 137776 9
0.00 6.56 9.051232 138237 14
0.00 9.58 9.081417 138698 14
0.00 10.55 9.111536 139158 14
0.00 10.48 9.14172 139619 14
0.00 12.82 9.171315 140071 14
0.00 6.13 9.171839 140079 14
0.00 6.27 9.201304 140529 9
0.00 6.56 9.231423 140989 14
0.00 6.15 9.247137 141229 1
0.00 7.23 9.261018 141441 3
0.00 6.48 9.291464 141906 14
0.00 6.30 9.321911 142371 6
0.00 7.07 9.381887 143287 9
0.00 9.44 9.472702 144674 9
0.00 13.97 9.503214 145140 14
0.00 6.41 9.503738 145148 14
0.00 5.51 9.534185 145613 14
0.00 7.11 9.564107 146070 9
0.00 8.47 9.594685 146537 9
0.00 5.95 9.625655 147010 9
0.00 6.65 9.655643 147468 9
0.00 11.76 9.686482 147939 9
0.00 10.48 9.716798 148402 14
0.00 8.19 9.747179 148866 14
0.00 11.24 9.777363 149327 14
0.00 6.57 9.807482 149787 6
0.00 11.29 9.837994 150253 6
0.00 5.66 9.838256 150257 6
0.00 10.91 9.868571 150720 9
0.00 10.51 9.898952 151184 14
0.00 7.08 9.929399 151649 14
0.00 5.87 9.959845 152114 6
0.00 9.90 9.990815 152587 14
0.00 7.68 10.021524 153056 9
0.00 5.06 10.054393 153558 70
0.00 10.35 10.083464 154002 9
0.00 8.44 10.114238 154472 9
0.00 10.00 10.144946 154941 9
0.00 9.48 10.206101 155875 14
0.00 14.63 10.236679 156342 14
0.00 6.91 10.266929 156804 14
0.00 7.69 10.297506 157271 6
0.00 7.44 10.32828 157741 9
0.00 9.81 10.359577 158219 14
0.00 8.86 10.390351 158689 6
0.00 8.19 10.421976 159172 9
0.00 11.72 10.453143 159648 14
0.00 8.23 10.483917 160118 6
0.00 8.23 10.515149 160595 9
0.00 5.19 10.571851 161461 70
0.00 6.47 10.608125 162015 6
0.00 10.14 10.637917 162470 9
0.00 7.14 10.668363 162935 14
0.00 5.27 10.698548 163396 6
0.00 9.50 10.759244 164323 14
0.00 10.06 10.819744 165247 9
0.00 12.70 10.849994 165709 14
0.00 7.23 10.880113 166169 14
0.00 5.48 10.910429 166632 14
0.00 8.60 10.940286 167088 9
0.00 5.41 10.970732 167553 9
0.00 5.38 11.030315 168463 6
0.00 6.73 11.060173 168919 9
0.00 8.68 11.090226 169378 14
0.00 8.18 11.120476 169840 9
0.00 5.84 11.120804 169845 9
0.00 10.14 11.150464 170298 14
0.00 5.32 11.150988 170306 14
0.00 9.19 11.18078 170761 9
0.00 10.01 11.211292 171227 14
0.00 6.90 11.223994 171421 100
0.00 7.56 11.241607 171690 20
0.00 10.58 11.272315 172159 14
0.00 5.46 11.31769 172852 100
0.00 11.69 11.33275 173082 14
0.00 12.39 11.363262 173548 14
0.00 10.01 11.393446 174009 14
0.00 9.26 11.423435 174467 9
0.00 7.31 11.457679 174990 150
0.00 8.19 11.483542 175385 9
0.00 8.01 11.505018 175713 70
0.00 5.03 11.507375 175749 70
0.00 9.51 11.513923 175849 6
0.00 9.61 11.543911 176307 14
0.00 6.91 11.555893 176490 100
0.00 11.67 11.574226 176770 14
0.00 8.63 11.604804 177237 14
0.00 9.79 11.635119 177700 9
0.00 6.27 11.657643 178044 45
0.00 5.70 11.665631 178166 4
0.00 10.44 11.696667 178640 9
0.00 5.70 11.707863 178811 70
0.00 12.36 11.726917 179102 9
0.00 8.36 11.758149 179579 30
0.00 7.25 11.788202 180038 14
0.00 5.72 11.81053 180379 150
0.00 5.05 11.859833 181132 100
0.00 9.92 11.879738 181436 14
0.00 9.17 11.910054 181899 9
0.00 5.36 11.940958 182371 9
0.00 5.70 11.957065 182617 100
0.00 8.53 11.971077 182831 9
0.00 13.79 12.001851 183301 14
0.00 6.95 12.002375 183309 14
0.00 6.69 12.005714 183360 70
0.00 8.90 12.063202 184238 14
0.00 10.53 12.093452 184700 6
0.00 5.30 12.094107 184710 6
0.00 7.62 12.143083 185458 100
0.00 8.77 12.155131 185642 14
0.00 6.59 12.216286 186576 9
0.00 12.28 12.246994 187045 9
0.00 7.98 12.247321 187050 9
0.00 7.40 12.277768 187515 14
0.00 7.74 12.308476 187984 14
0.00 9.98 12.339381 188456 14
0.00 10.50 12.370155 188926 14
0.00 5.19 12.401125 189399 6
0.00 10.61 12.462542 190337 9
0.00 7.93 12.49325 190806 9
0.00 7.07 12.523958 191275 9
0.00 9.88 12.58544 192214 14
0.00 6.20 12.646595 193148 9
0.00 6.03 12.677304 193617 9
0.00 7.22 12.738917 194558 9
0.00 7.18 12.769756 195029 6
0.00 8.33 12.800726 195502 3
0.00 10.44 12.831696 195975 6
0.00 5.31 12.831958 195979 6
0.00 7.13 12.862274 196442 6
0.00 10.32 12.893375 196917 14
0.00 5.18 12.924345 197390 9
0.00 11.78 12.95453 197851 6
0.00 5.18 12.982161 198273 1
0.00 9.94 12.985631 198326 14
0.00 8.84 13.015685 198785 9
0.00 10.10 13.046262 199252 9
0.00 5.98 13.076577 199715 9
0.00 5.21 13.089935 199919 4
0.00 6.98 13.106631 200174 3
0.00 6.14 13.137274 200642 14
0.00 5.03 13.167131 201098 2
0.00 7.19 13.197577 201563 9
0.00 6.23 13.227762 202024 9
0.00 10.98 13.258077 202487 20
0.00 8.28 13.317988 203402 4
0.00 5.01 13.318315 203407 9
0.00 8.03 13.348238 203864 14
0.00 9.10 13.378226 204322 9
0.00 5.43 13.408673 204787 20
0.00 10.65 13.438661 205245 14
0.00 6.65 13.468256 205697 3
0.00 5.45 13.498702 206162 6
0.00 9.33 13.529214 206628 14
0.00 10.47 13.559595 207092 14
0.00 9.96 13.589714 207552 9
0.00 5.25 13.590042 207557 9
0.00 8.95 13.650411 208479 9
0.00 5.69 13.650738 208484 9
0.00 13.93 13.680857 208944 14
0.00 13.55 13.741423 209869 14
0.00 11.59 13.771411 210327 9
0.00 10.47 13.801595 210788 9
0.00 8.64 13.831714 211248 14
0.00 9.47 13.861899 211709 9
0.00 11.14 13.892411 212175 14
0.00 8.60 13.922857 212640 14
0.00 7.02 13.953369 213106 14
0.00 5.81 13.984536 213582 4
0.00 9.49 14.014458 214039 6
0.00 5.64 14.01472 214043 6
0.00 9.06 14.045167 214508 9
0.00 12.99 14.076202 214982 14
0.00 6.18 14.076726 214990 14
0.00 9.28 14.10678 215449 9
0.00 6.39 14.107107 215454 9
0.00 10.58 14.137619 215920 14
0.00 12.02 14.168262 216388 14
0.00 7.17 14.198577 216851 9
0.00 6.45 14.229089 217317 6
0.00 11.44 14.259536 217782 14
0.00 9.24 14.289917 218246 9
0.00 6.61 14.32069 218716 14
0.00 8.30 14.35081 219176 9
0.00 8.48 14.38119 219640 6
0.00 5.63 14.411899 220109 14
0.00 11.00 14.442804 220581 20
0.00 8.05 14.473185 221045 9
0.00 11.93 14.503827 221513 14
0.00 6.90 14.565048 222448 14
0.00 8.17 14.595429 222912 14
0.00 7.21 14.686375 224301 4
0.00 10.32 14.716887 224767 14
0.00 6.70 14.74694 225226 6
0.00 7.18 14.777452 225692 14
0.00 11.08 14.807833 226156 14
0.00 5.56 14.808357 226164 14
0.00 6.79 14.83756 226610 9
0.00 10.95 14.867875 227073 6
0.00 6.59 14.928113 227993 6
0.00 9.91 14.95869 228460 14
0.00 6.68 14.988875 228921 2
0.00 7.91 15.019518 229389 14
0.00 13.31 15.050161 229857 9
0.00 5.71 15.050488 229862 9
0.00 6.12 15.080476 230320 14
0.00 10.32 15.140583 231238 6
0.00 11.33 15.200625 232155 9
0.00 5.53 15.200952 232160 9
0.00 7.90 15.230351 232609 14
0.00 5.42 15.260143 233064 20
0.00 6.92 15.289935 233519 9
0.00 10.98 15.349452 234428 14
0.00 8.75 15.379244 234883 14
0.00 9.86 15.409101 235339 14
0.00 7.13 15.438827 235793 9
0.00 11.82 15.468554 236247 9
0.00 8.39 15.498542 236705 14
0.00 11.16 15.528595 237164 14
0.00 6.06 15.55819 237616 14
0.00 10.88 15.617446 238521 14
0.00 7.15 15.676702 239426 9
0.00 9.94 15.706494 239881 9
0.00 7.20 15.736286 240336 14
0.00 7.98 15.82625 241710 14
0.00 8.33 15.856107 242166 14
0.00 5.26 15.886357 242628 6
0.00 7.88 15.916476 243088 14
0.00 5.82 15.97678 244009 9
0.00 11.24 16.007161 244473 14
0.00 8.01 16.037411 244935 9
0.00 8.32 16.067857 245400 9
0.00 6.67 16.128946 246333 9
0.00 12.15 16.159786 246804 14
0.00 6.98 16.16031 246812 14
0.00 7.12 16.190167 247268 14
0.00 5.98 16.220875 247737 14
0.00 8.16 16.251518 248205 4
0.00 6.79 16.281702 248666 20
0.00 6.94 16.342661 249597 6
0.00 6.10 16.3735 250068 6
0.00 7.22 16.403488 250526 9
0.00 5.07 16.408006 250595 70
0.00 5.09 16.451744 251263 30
0.00 10.50 16.464381 251456 9
0.00 6.52 16.464708 251461 9
0.00 7.93 16.495024 251924 9
0.00 5.22 16.500851 252013 100
0.00 8.94 16.525601 252391 9
0.00 5.98 16.525929 252396 9
0.00 5.04 16.54472 252683 20
0.00 6.82 16.58728 253333 9
0.00 7.37 16.593958 253435 100
0.00 6.22 16.617988 253802 6
0.00 9.16 16.648827 254273 6
0.00 10.27 16.679863 254747 9
0.00 7.69 16.710637 255217 14
0.00 7.35 16.738464 255642 150
0.00 13.84 16.803613 256637 14
0.00 8.97 16.834321 257106 9
0.00 5.75 16.865226 257578 9
0.00 7.22 16.891351 257977 150
0.00 6.48 16.938494 258697 70
0.00 7.32 16.990875 259497 100
0.00 11.07 17.020208 259945 9
0.00 6.74 17.041619 260272 100
0.00 8.37 17.051702 260426 14
0.00 6.53 17.082476 260896 6
0.00 5.25 17.091315 261031 70
0.00 7.31 17.113708 261373 4
0.00 9.84 17.144679 261846 9
0.00 8.21 17.176042 262325 4
0.00 6.35 17.186649 262487 100
0.00 11.18 17.207339 262803 14
0.00 9.08 17.238244 263275 9
0.00 6.44 17.269411 263751 9
0.00 5.68 17.279494 263905 100
0.00 7.45 17.300577 264227 9
0.00 7.31 17.328012 264646 150
0.00 10.76 17.363369 265186 9
0.00 6.87 17.3745 265356 150
0.00 9.51 17.393881 265652 9
0.00 10.32 17.425113 266129 14
0.00 6.57 17.456018 266601 14
0.00 7.17 17.517304 267537 4
0.00 9.84 17.548274 268010 14
0.00 8.75 17.579113 268481 14
0.00 8.34 17.640595 269420 9
0.00 11.79 17.701946 270357 9
0.00 5.77 17.732851 270829 6
0.00 9.78 17.76297 271289 9
0.00 12.79 17.793548 271756 14
0.00 5.94 17.823929 272220 9
0.00 8.11 17.854506 272687 6
0.00 9.57 17.885018 273153 9
0.00 10.98 17.915792 273623 14
0.00 11.04 17.946107 274086 14
0.00 9.33 17.977077 274559 3
0.00 5.06 17.977208 274561 3
0.00 7.28 18.007655 275026 14
